"Close","pc_1","pc_2","prediction(Close)"
4370.0,0.25043437380138556,-2.3974405443375533,4216.24072010345
4500.0,-0.41788380294718847,-1.3061185267286863,4418.7147490937805
4500.0,-0.651505790266364,-0.6869571855934085,4456.878403402832
4460.0,-0.811604749966846,-0.10748062591782499,4461.197480351381
4450.0,-0.7114737150456726,-0.5326737806609348,4467.197242356906
4520.0,-0.7645888738931805,-0.522790856095281,4493.707919350144
4470.0,-0.9656860666828007,0.23535053004186018,4494.618973850835
4510.0,-1.0644377314387932,0.6551432719984889,4487.923014896736
4500.0,-0.9482692384021193,0.36007071578741323,4468.071856496913
4530.0,-0.9497949020157465,0.2705998310717949,4481.350715132531
4490.0,-0.8513212132133867,-0.1956546221114721,4494.239949441943
4370.0,-0.6636264536741144,-0.26060346070701157,4404.686521031808
4370.0,-0.6435639739804222,0.3061127293851399,4315.513115635047
4300.0,-0.7718221636228574,0.432685904547977,4365.165622740737
4420.0,-0.7094375891150294,0.4351587043665423,4332.052282851765
4520.0,-0.8939014322161731,0.17885384368051765,4464.7290642861335
4540.0,-1.016511107741032,0.3793449808654309,4501.292395930826
4540.0,-1.0455282989829788,0.48870164549528927,4501.287851221389
4540.0,-0.993003605726263,0.48092164658913666,4474.723514758694
4400.0,-0.5977184667829963,-0.6993088362275015,4430.38046904208
4360.0,-0.7396791104950095,0.24012885704110182,4375.171773706406
4300.0,-0.6378835825589582,0.35614974146597755,4305.54088390073
4130.0,-0.2329823694043366,-0.5511977192784892,4219.233250102591
4110.0,0.4807371021056035,-2.313095214352413,4085.4121574270066
4060.0,-0.0800740651993986,0.2286097101626964,4031.0577528722306
4140.0,-0.31277769454565907,0.2014771925251458,4156.7113045118585
4110.0,-0.37928515139278435,0.5712143583247069,4139.7220868391405
4120.0,-0.28391844873466127,0.6400680971372875,4080.0081351969216
4120.0,-0.1851341920637306,0.19643153570319163,4090.570489566016
4010.0,-0.1389822753844783,0.16520191779181972,4070.773769489044
4020.0,-0.13440112508356802,0.6951242666444636,3993.8221410684278
3970.0,-0.046033936999058736,0.31443984025456523,4001.1916653824105
4000.0,-0.08560619220357416,0.7253358662571189,3963.952311345938
4000.0,-0.10418636902475652,0.7716529125858638,3967.129538685727
3970.0,-0.11085779984653825,0.7729122686435231,3970.450417821105
4000.0,-0.08714916653518316,0.7787398134317309,3957.1867375703832
4110.0,-0.11254771743275219,0.4219782880005875,4020.9162549233674
4180.0,-0.3049953952574511,0.2671790988788424,4143.450453280468
4040.0,-0.14782936389651313,-0.11075077756330057,4113.858924220213
4050.0,-0.19713509811858915,0.6936286897217542,4026.9320552805807
4130.0,-0.1473309333065707,-0.06505832209081068,4107.247983429345
4110.0,-0.36960462750179846,0.7489003105214231,4109.579417918129
4120.0,-0.32021935491913467,0.5626879119053183,4109.951227916437
4070.0,-0.30870728898490835,0.5669740493688828,4103.311761279281
4050.0,-0.24489793196292667,0.6358064427507334,4060.1488396216246
4100.0,-0.29444267024627924,0.822457640430349,4059.734449779196
4220.0,-0.23662881139717123,0.10447825001667609,4130.373158186605
4090.0,-0.27139456597581035,0.283519914778471,4123.561719576486
4210.0,-0.29399416237520304,0.3446055151031323,4126.844875802599
4150.0,-0.45011828541151655,0.6954322094521126,4159.372575515154
4120.0,-0.3439877368306258,0.5809411986642863,4119.843051323772
4010.0,-0.1498332046067694,0.2774852565735428,4060.7375524528597
4010.0,-0.19343871713185504,0.6559373782972652,4030.32291350945
4010.0,-0.13853543285103243,0.7107174855990442,3993.7824912906885
4220.0,0.028993086115566058,-0.6111926341199582,4090.61683920369
4100.0,-0.463937165929243,0.6760817985505403,4169.352356120479
4120.0,-0.38834682776517976,0.8432670712764688,4106.0612800025765
4070.0,-0.2102797979097787,0.4101484658325916,4073.785007693893
4200.0,-0.18953125508002683,0.02222763596902074,4117.183297768392
4360.0,-0.14462578264265108,-1.2417087244880944,4267.276083693562
4370.0,-0.6611133755851315,0.06295343166228573,4358.584999374061
4390.0,-0.7430785773790278,0.2768083497667463,4371.843161027642
4370.0,-0.6584442768389233,-0.11379832281800215,4381.6876539056475
4330.0,-0.6952376842520727,0.4771735190258158,4318.711510766868
4430.0,-0.6139280767955968,0.09882723455036799,4328.847691945966
4490.0,-0.7366654701536339,-0.10448889140603282,4421.440188923915
4390.0,-0.9286788852794147,0.4528112458833243,4444.808688497478
4450.0,-0.8414242427085326,0.028632965137106614,4458.01177809437
4540.0,-0.622203452066432,-0.6073968075612626,4430.634221502192
4450.0,-0.869401635130277,0.18183729073979904,4451.435697891968
4460.0,-0.9336798012304413,0.35266148321583185,4461.431489033896
4380.0,-0.7022001740595678,-0.09147331248418014,4401.552781588295
4320.0,-0.3900771723093393,-0.0074893448502866555,4226.305198405192
4310.0,-0.7618341493669304,0.5850909128550512,4338.557980270593
4410.0,-0.7495133555520243,0.5624706689404978,4335.2593274878245
4370.0,-0.8806944441813567,0.795426942437969,4371.465537548284
4180.0,-0.533250215585227,0.05687428816066542,4292.37649226576
4080.0,0.03627713289256296,-0.8047125952043558,4113.374133688343
4100.0,-0.13345357328986587,-0.022247134826644536,4094.0310039549227
4420.0,-0.09521237865907323,-1.4279996315782475,4266.675144598924
4520.0,-0.46348874322281075,-1.0865611663215182,4412.845092283649
4410.0,-0.8110201190768848,-0.4190581515815015,4503.840240715621
4370.0,-0.7245723447351191,0.08803348119271565,4388.403306081907
4450.0,-0.6878748290479056,0.044747837774037735,4375.154446133938
4340.0,-0.5227297916249323,-0.6964851784264859,4390.719046943232
4270.0,-0.19462922863134174,-0.8147779881942022,4235.309734068375
4210.0,-0.3746079022688078,-0.06503517426158344,4226.194491885901
4200.0,-0.4458099161306545,0.4411802932175363,4192.878517129891
4190.0,-0.5018874124385929,0.6525860676737644,4192.5769942877905
4190.0,-0.39979772459189244,0.5295629752773294,4156.338673937644
4180.0,-0.33843500256199865,0.4647817455979766,4133.271783606235
4170.0,-0.3296368556879091,0.431691631566983,4133.307221865722
4100.0,-0.22753572720766144,0.0469321105063993,4133.633957790269
4050.0,-0.2170386757322689,0.5305841603519466,4060.3831537284523
4040.0,-0.21583338666763452,0.5974864252940832,4050.3187451922026
4040.0,-0.2347181925648712,0.7639177718223665,4036.6953876715556
4000.0,-0.17856265421194553,0.5997670202008183,4030.457519318579
3990.0,-0.09252029786836567,0.48976697626388144,4000.8757801720753
3940.0,-0.09987882952746004,0.7554191514248328,3967.1728222253205
